name,ein,city,state,website,phone,formatted_address,place_id
LILLY ENDOWMENT INC,350868122,INDIANAPOLIS,IN,http://www.lillyendowment.org/,(317) 924-5471,2801 N Meridian St, Indianapolis, IN 46208, USA,ChIJ1UM8ED1Ra4gRjyGJRmyZLoE
VOLKSWAGEN-STIFTUNG,521690493,SALT LAKE CTY,UT,http://www.volkswagenstiftung.de/,0511 83810,Kastanienallee 35, 30519 Hannover-Döhren-Wülfel, Germany,ChIJ48hYtucKsEcR2nkI49fN6hU
ALICE L WALTON FOUNDATION,823700633,BENTONVILLE,AR,https://alwmedschool.org/,,1001 NE J St, Bentonville, AR 72712, USA,ChIJizQ-KdYbyYcRR1tMI2fVYrU
CARNEGIE CORPORATION OF NEW YORK,131628151,NEW YORK,NY,https://carnegie.org/,(212) 371-3200,437 Madison Ave #31, New York, NY 10022, USA,ChIJdxywQ_xYwokR3EcLJdyq2fw
SIMONS FOUNDATION INC,133794889,NEW YORK,NY,http://www.simonsfoundation.org/,(646) 654-0066,160 5th Ave, New York, NY 10010, USA,ChIJI8xvX6JZwokR26Ds5-hK8VU
KNIGHT FOUNDATION,911791788,BEAVERTON,OR,http://knightfoundation.org/,(305) 908-2600,2850 Tigertail Ave Ste 600, Miami, FL 33133, USA,ChIJ12_nj5222YgRo4ZuzQeTtnQ
THE CALIFORNIA ENDOWMENT,954523232,LOS ANGELES,CA,http://www.calendow.org/,(800) 449-4149,1000 Alameda St, Los Angeles, CA 90012, USA,ChIJ6ZROskTGwoARt90WXwInEhc
CARL VICTOR PAGE MEMORIAL FOUNDATION,201922957,PALO ALTO,CA,https://www.moore.org/,(650) 213-3000,1661 Page Mill Rd, Palo Alto, CA 94304, USA,ChIJr3LUHL66j4ARGdU0-QdDXhQ
CRANKSTART FOUNDATION,943377099,SAN JOSE,CA,http://crankstart.org/,,1660 Bush St, San Francisco, CA 94109, USA,ChIJ7W3wxr26j4ARlYX6jVjqSww
SERGEY BRIN FAMILY FOUNDATION,472107200,SAN FRANCISCO,CA,http://www.sff.org/,(415) 733-8500,1 Embarcadero Ctr, San Francisco, CA 94111, USA,ChIJ6UC5C2KAhYAROntXMG_Eiro
KRESGE FOUNDATION,381359217,TROY,MI,http://kresge.org/,(248) 643-9630,3215 W Big Beaver Rd, Troy, MI 48084, USA,ChIJa91c3evGJIgRxU5Us6L38lM
MOTHER CABRINI HEALTH FOUNDATION,830590263,NEW YORK,NY,http://www.cabrinihealth.org/,(646) 980-3001,777 3rd Ave 23rd floor, New York, NY 10017, USA,ChIJ7VURI1JZwokRBO3bXuSASmI
CHARLES STEWART MOTT FOUNDATION,381211227,FLINT,MI,https://www.mott.org/,,503 Saginaw St, Flint, MI 48502, USA,ChIJS4_HLheCI4gRz1N4h5L0Eoo
H&H EVERGREEN FOUNDATION,465066162,MENLO PARK,CA,http://hewlett.org/,(650) 234-4500,2121 Sand Hill Rd, Menlo Park, CA 94025, USA,ChIJeVCq7d6kj4ARVCfILXSUSJc
JOHN TEMPLETON FOUNDATION,621322826,WEST CONSHOHOCKEN,PA,http://www.templeton.org/,(610) 941-2828,300 Conshohocken State Rd #500, Conshohocken, PA 19428, USA,ChIJYzFsiE--xokR-F50M9Kqfhw
JACK JOSEPH AND MORTON MANDEL FOUNDATION,346546418,CLEVELAND,OH,http://www.mandelfoundation.org/,(216) 875-6539,1000 Lakeside Ave E, Cleveland, OH 44114, USA,ChIJR_O7unj6MIgR3ih9u544mBU
DUKE ENDOWMENT,560529965,CHARLOTTE,NC,http://dukeendowment.org/,(704) 376-0291,800 E Morehead St, Charlotte, NC 28202, USA,ChIJMaMPcyWgVogREkoLmbFpvcM
MOODY FOUNDATION,741403105,GALVESTON,TX,http://www.moodyf.org/,(409) 797-1500,2302 Postoffice St #704, Galveston, TX 77550, USA,ChIJta5562ueP4YRyS-8yRLJN2o
WILLIAM PENN FOUNDATION,231503488,PHILADELPHIA,PA,http://www.williampennfoundation.org/,(215) 988-1830,100 N 18th St, Philadelphia, PA 19103, USA,ChIJ8f4j0TPGxokRIWD7GHKzbDw
JAMES IRVINE FOUNDATION,941236937,SAN FRANCISCO,CA,http://irvine.org/,(415) 777-2244,One Bush Plaza, 1 Bush St #800, San Francisco, CA 94104, USA,ChIJp2UYiWKAhYARUXWCqVjM73A
FREEDOM TOGETHER FOUNDATION,900747216,NEW YORK,NY,,(212) 234-4926,231 W 142nd St, New York, NY 10030, USA,ChIJQ7Q6KXr2wokRTlBHplEUkGo
KOUM FAMILY FOUNDATION,475446562,PALO ALTO,CA,http://www.paloaltojcc.org/,(650) 223-8700,3921 Fabian Way, Palo Alto, CA 94303, USA,ChIJHVbpgxS6j4AR9YLHy_G1z6E
MARGARET A CARGILL FOUNDATION,371758406,EDEN PRAIRIE,MN,https://www.macphilanthropies.org/,(952) 540-4050,6889 Rowland Rd, Eden Prairie, MN 55344, USA,ChIJsRhSUAAh9ocRgk9idPLoe2o
SAROFIM FOUNDATION,372090276,HOUSTON,TX,https://www.memorialhermann.org/locations/texas-medical-center/about-us/sarofim-pavilion,(713) 704-1960,Cambridge St, Houston, TX 77030, USA,ChIJx-O2-HfAQIYR2qBzdHcoRas
SHELBY CULLOM DAVIS CHARITABLE FUND INC,203734688,WILMINGTON,DE,http://delcf.org/,(302) 571-8004,100 W 10th St #704, Wilmington, DE 19801, USA,ChIJLUUIZkD9xokROJ3W1Hivgro
GLENSTONE FOUNDATION,205938416,POTOMAC,MD,https://www.glenstone.org/,(301) 983-5001,12100 Glen Rd, Potomac, MD 20854, USA,ChIJE3Cn7KMztokRtix8EGmZLWE
THE COLORADO HEALTH FOUNDATION,742568941,DENVER,CO,https://coloradohealth.org/,(303) 953-3600,1780 Pennsylvania St, Denver, CO 80203, USA,ChIJg0ikWyl5bIcRhXGDS0tpqU4
WALTER SCOTT FAMILY FOUNDATION,471116371,OMAHA,NE,https://www.swscottfoundation.org/contact-us,(402) 502-1122,10340 N 84th St, Omaha, NE 68122, USA,ChIJx-h_OGaTk4cRD_I53syqVd0
WAVERLEY STREET FOUNDATION,813242506,PALO ALTO,CA,https://www.waverleysurgery.com/,(650) 285-6919,400 Forest Ave, Palo Alto, CA 94301, USA,ChIJ8ZVxADy7j4AReLXtYOSajLY
THE SUSAN THOMPSON BUFFETT FOUNDATION,476032365,OMAHA,NE,https://buffettscholarships.org/,(402) 943-1300,3555 Farnam St #222, Omaha, NE 68131, USA,ChIJ_dZammiOk4cRLC2NzNjjz_w
MCKNIGHT FOUNDATION,410754835,MINNEAPOLIS,MN,https://www.mcknight.org/,(612) 333-4220,921 Washington Ave S, Minneapolis, MN 55415, USA,ChIJVfHelmMts1IREOvLVNxaGLM
CASEY FAMILY PROGRAMS,910793881,SEATTLE,WA,https://www.casey.org/,(206) 282-7300,2001 8th Ave, Seattle, WA 98121, USA,ChIJXx4exD0VkFQRFJj56nSaohE
RICHARD KING MELLON FOUNDATION DTD 01-01-47,251127705,LIGONIER,PA,https://www.rkmf.org/,(412) 392-2800,The Auction House, 42 21st St Ste 201, Pittsburgh, PA 15222, USA,ChIJYa1uklnxNIgRwQ7QIsx3NDk
ASTERA INSTITUTE,845162617,BERKELEY,CA,https://astera.org/,,1351 Ocean Ave, Emeryville, CA 94608, USA,ChIJFxZcFQB_hYARpS6CLfNRntY
JOHN S AND JAMES L KNIGHT FOUNDATION INC,650464177,MIAMI,FL,http://knightfoundation.org/,(305) 908-2600,2850 Tigertail Ave Ste 600, Miami, FL 33133, USA,ChIJ12_nj5222YgRo4ZuzQeTtnQ
RIPPLEWORKS INC,465604812,SAN FRANCISCO,CA,https://www.rippleworks.org/,,889 Winslow St, Redwood City, CA 94063, USA,ChIJXZXQeRKjj4ARrUh4lJ9W2TQ
HOUSTON ENDOWMENT INC,746013920,HOUSTON,TX,http://www.houstonendowment.org/,(713) 238-8100,3683 Willia St, Houston, TX 77007, USA,ChIJa0oElDq_QIYRZi4egLKANuw
EWING MARION KAUFFMAN FOUNDATION,436064859,KANSAS CITY,MO,http://www.kauffman.org/,(816) 932-1000,4801 Rockhill Rd, Kansas City, MO 64110, USA,ChIJD9KpDZTvwIcRVaoC0AopdQw
ANNIE E CASEY FOUNDATION,521951681,BALTIMORE,MD,https://www.aecf.org/,(410) 547-6600,701 St Paul St, Baltimore, MD 21202, USA,ChIJgRBw3pkEyIkRaYUI8QmJJGY
CUMMINGS FOUNDATION INC,043073023,WOBURN,MA,https://www.cummingsfoundation.org/,(781) 938-8355,200 W Cummings Park, Woburn, MA 01801, USA,ChIJ8XlLBq9144kR_LDj7NRsh_I
DORIS DUKE CHARITABLE FOUNDATION INC,823691183,NEW YORK,NY,http://www.dorisduke.org/,(212) 974-7000,444 Madison Ave 10th floor, New York, NY 10022, USA,ChIJbSa2Y_pYwokRkJ13TLtJwiE
THE HEINZ ENDOWMENTS,251721100,PITTSBURGH,PA,http://www.heinz.org/,(412) 281-5777,625 Liberty Ave, Pittsburgh, PA 15222, USA,ChIJ5a71UVbxNIgRTa76PnAjU6g
CHARLES AND LYNN SCHUSTERMAN FAMILY FOUNDATION,731312965,TULSA,OK,https://www.schusterman.org/,(918) 879-0290,110 W 7th St, Tulsa, OK 74119, USA,ChIJ5ZehCHvrtocRzgg_9j6hgRA
ALFRED P SLOAN FOUNDATION,131623877,NEW YORK,NY,http://www.sloan.org/,(212) 649-1649,630 5th Ave #2200, New York, NY 10111, USA,ChIJNYsHqv5YwokRi1ucqZg5nR8
DOGWOOD HEALTH TRUST,830590696,ASHEVILLE,NC,http://www.dht.org/,(828) 771-6710,890 Hendersonville Rd, Asheville, NC 28803, USA,ChIJ5aBEikzzWYgRuhSFY2DzFfA
THE STEPHENS GRETH FOUNDATION,992739395,MIDLAND,TX,https://www.faskenfoundation.org/,(432) 683-5401,15 Smith Rd Ste 5008, Midland, TX 79705, USA,ChIJV7UsinzY-4YR3AjyOs5UIKU
THE SCHMIDT FAMILY FOUNDATION,204170342,PALO ALTO,CA,http://schmidtfamilyfoundation.org/,(561) 392-4717,201 Plaza Real #140, Boca Raton, FL 33432, USA,ChIJNUGFlxzi2IgRe_nrUCamfwI
M J MURDOCK CHARITABLE TRUST,237456468,VANCOUVER,WA,https://murdocktrust.org/,(360) 694-8415,655 W Columbia Way #700, Vancouver, WA 98660, USA,ChIJVzhxr7GolVQRqdtaQRGQpXc
INDIAN PAINTBRUSH FOUNDATION,541739160,WASHINGTON,DC,http://www.indianpaintbrush.art/,(214) 422-5060,Akathist House, Irving, TX 75061, USA,ChIJn2_qHvWDToYRiQzVtF8AWno
THE LEON LEVINE FOUNDATION,581427515,CHARLOTTE,NC,http://www.leonlevinefoundation.org/,(704) 817-6500,4600 Park Rd #500, Charlotte, NC 28209, USA,ChIJtR5FnmmeVogRWinnIErOKvE
BARR FOUNDATION,046579815,BOSTON,MA,http://www.barrfoundation.org/,(617) 854-3500,2 Atlantic Ave, Boston, MA 02110, USA,ChIJ5ysPy4lw44kRMyG3fENpaWU
HILLMAN FAMILY FOUNDATIONS,256065959,PITTSBURGH,PA,https://hillmanfamilyfoundations.org/,(412) 338-3466,310 Grant St #2020, Pittsburgh, PA 15219, USA,ChIJbUeFn1DxNIgR4W3Xsv6opw4
ROBERT W WOODRUFF FOUNDATION INC,581695425,ATLANTA,GA,https://woodruff.org/,(404) 522-6755,45 Edgewood Ave SE, Atlanta, GA 30303, USA,ChIJUZhzaoYD9YgRvIiR0c27jBs
ANSCHUTZ FOUNDATION,742316617,DENVER,CO,https://www.theanschutzfoundation.org/,(303) 308-8220,555 17th St Unit 960, Denver, CO 80202, USA,ChIJPW_VXNZ4bIcR8_9xTp-nz6o
BROAD FOUNDATION,954686318,LOS ANGELES,CA,http://www.broadfoundation.org/,,300 S Grand Ave, Los Angeles, CA 90071, USA,ChIJH5tDnu27woARvQg51QEZsuE
THE HARRY & JEANETTE WEINBERG FOUNDATION INC,526037034,OWINGS MILLS,MD,https://hjweinbergfoundation.org/,(410) 654-8500,7 Park Center Ct, Owings Mills, MD 21117, USA,ChIJrRCtSEIXyIkRPokd7VI-b7I
S & G FOUNDATION,364193183,ALBANY,NY,https://sgbasementwaterproofingalbanyny.com/,(518) 263-0706,194 Washington Ave, Albany, NY 12210, USA,ChIJswkRd-IL3okRa8rl-34cPu0
DRUCKENMILLER FOUNDATION,133735187,NEW YORK,NY,https://www.medalofphilanthropy.org/,(212) 371-3200,437 Madison Ave, New York, NY 10022, USA,ChIJmcQpFkxMwokRJze3gilvKeg
THE WALLACE FOUNDATION,136183757,NEW YORK,NY,http://www.wallacefoundation.org/,(212) 251-9700,140 Broadway 49th fl, New York, NY 10005, USA,ChIJoxV2461ZwokRg4fC0KhexM0
WYSS FOUNDATION,251823874,WASHINGTON,DC,http://wyssfoundation.org/,(970) 422-3260,679 E 2nd Ave, Durango, CO 81301, USA,ChIJhUWJTqACPIcRPOacR5ZJglQ
DALIO FOUNDATION INC,431965846,WESTPORT,CT,https://www.bridgewater.com/,(203) 226-3030,One Nyala Farms Rd, Westport, CT 06880, USA,ChIJ1ZnlKJgL6IkR9IXAZvPHfps
W M KECK FOUNDATION,956092354,LOS ANGELES,CA,https://www.wmkeck.org/,(213) 612-2000,515 Flower St, Los Angeles, CA 90071, USA,ChIJNyA_gLPHwoARyfWrOaRG8_U
DAVIS FAMILY FOUNDATION,010751429,HANOVER,MD,https://ddsfoundation.org/,(301) 961-4000,3 Bethesda Metro Center #118, Bethesda, MD 20814, USA,ChIJf2IBUnvJt4kR12vcbc1H9uU
THE ERIC AND WENDY SCHMIDT FUND FOR STRATEGIC INNOVATION,463460261,PALO ALTO,CA,http://schmidtmarine.org/,,101 The Embarcadero #118, San Francisco, CA 94105, USA,ChIJke1h2mWAhYARuerr0-z8h34
LUMINA FOUNDATION FOR EDUCATION INC,351813228,INDIANAPOLIS,IN,http://www.luminafoundation.org/,(317) 951-5300,820 Massachusetts Ave Ste 1390, Indianapolis, IN 46204, USA,ChIJ85yF9rxQa4gR3gj-JjnenRU
PATTERSON FAMILY FOUNDATION,376714807,KANSAS CITY,MO,https://pattersonfamilyfoundation.org/contact/,(833) 614-2450,300 Wyandotte St #301, Kansas City, MO 64105, USA,ChIJEX_q6rjvwIcRPRB2abk2mG0
THE ANNENBERG FOUNDATION,236257083,CONSHOHOCKEN,PA,http://www.annenbergfoundation.org/,(610) 341-9366,101 W Elm St #640, Conshohocken, PA 19428, USA,ChIJt5q-Cj-VxokRjrh76iiPTi4
RED GATES FOUNDATION,301201296,RICHMOND,VA,https://livered.org/,(804) 203-2777,8910 Patterson Ave, Richmond, VA 23229, USA,ChIJDbMIDzhrsYkRkZ69yvS9A9k
CY TWOMBLY FOUNDATION,202572529,NEW YORK,NY,http://www.hillartfoundation.org/,(212) 337-4455,239 10th Ave 3rd floor, New York, NY 10001, USA,ChIJncWBoyRZwokR55sMRqNUzBg
SHIMON BEN JOSEPH FOUNDATION,331114104,SAN FRANCISCO,CA,,(415) 395-5400,343 Sansome St #550, San Francisco, CA 94104, USA,ChIJXw_g2GGAhYARfVGZqb5MkTE
LUCAS MUSEUM OF NARRATIVE ART,455600818,LOS ANGELES,CA,https://www.lucasmuseum.org/,,One Lucas Plaza, Los Angeles, CA 90037, USA,ChIJtWGPN3HHwoARJghDHgUwpiE
RYAN FOUNDATION,363755606,GREENWOOD VLG,CO,http://www.ryanfoundation.com/,(817) 529-4220,1320 S University Dr #721, Fort Worth, TX 76107, USA,ChIJGzoRwM1zToYRGcXq2e27U3I
LONGWOOD GARDENS INC,510110625,KENNETT SQ,PA,https://longwoodgardens.org/,(610) 388-1000,1001 Longwood Rd, Kennett Square, PA 19348, USA,ChIJ2VBVVSVWxokR0GCj7N5QgPI
THE AHMANSON FOUNDATION,956089998,BEVERLY HILLS,CA,http://www.theahmansonfoundation.org/,(310) 278-0770,9215 Wilshire Blvd, Beverly Hills, CA 90210, USA,ChIJp6d091W5woARIdlorRpgbkw
BUSH FOUNDATION,416017815,ST PAUL,MN,http://www.bushfoundation.org/,(651) 227-0891,428 Minnesota St Ste 400, St Paul, MN 55101, USA,ChIJ983AWE7V94cRIJmlNvY_AXE
ARIE AND IDA CROWN MEMORIAL,366076088,CHICAGO,IL,https://crownfamilyphilanthropies.org/,(312) 750-6671,222 N La Salle Dr #2000, Chicago, IL 60601, USA,ChIJI9NMuLAsDogRZ1hsgzbmUvk
AVENIR FOUNDATION INC,841245939,LAKEWOOD,CO,,(808) 223-8455,12081 W Alameda Pkwy #463, Lakewood, CO 80228, USA,ChIJ2x45NuWDa4cRYRT9C6JsUlU
GOTTESMAN FUND,526061469,NEW YORK,NY,http://www.gottesman-company.com/,(212) 330-8010,200 E 71st St #11D, New York, NY 10021, USA,ChIJmTVoXupYwokR2-dDfHQ9BBY
ROCKEFELLER BROTHERS FUND INC,131760106,NEW YORK,NY,http://www.rbf.org/,(212) 812-4200,475 Riverside Dr #900, New York, NY 10115, USA,ChIJObtpQj_2wokRNsvzZVDQfYk
DANIELS FUND,841393308,DENVER,CO,http://danielsscholarsconnect.com/,(720) 941-4471,101 Monroe St, Denver, CO 80206, USA,ChIJby573Zt-bIcRsRJcvCcqniE
OTTO BREMER TRUST,416019050,SAINT PAUL,MN,http://www.ottobremer.org/,(651) 227-8036,30 E 7th St #2900, St Paul, MN 55101, USA,ChIJr_3n8U3V94cRuN8tGg9FYK4
PAULSON FAMILY FOUNDATION,263922995,WEST PALM BCH,FL,https://spjff.org/,,340 Royal Poinciana Way, Palm Beach, FL 33480, USA,ChIJi7NIbhbX2IgRVaAwV57pYh8
ALLEN FAMILY PHILANTHROPIES,943082532,SEATTLE,WA,https://www.marysplaceseattle.org/get-help/family-resource-center,(206) 584-2832,3190 Martin Luther King Jr Way S, Seattle, WA 98144, USA,ChIJ1bIH2TlrkFQRXkoQrt-_gqs
STARR FOUNDATION,136151545,NEW YORK,NY,http://starrfoundation.org/,(212) 909-3600,399 Park Ave, New York, NY 10022, USA,ChIJM86qRftYwokRStsc_VMe-sU
DIANA DAVIS SPENCER FOUNDATION,203672969,BETHESDA,MD,https://ddsfoundation.org/,(301) 961-4000,3 Bethesda Metro Center #118, Bethesda, MD 20814, USA,ChIJf2IBUnvJt4kR12vcbc1H9uU
JOYCE FOUNDATION,366079185,CHICAGO,IL,http://www.joycefdn.org/,(312) 782-2464,321 N Clark St Ste 1500, Chicago, IL 60654, USA,ChIJwwo9EbssDogR6z-x-WUO5sw
SKYLINE FOUNDATION,943380194,SAN FRANCISCO,CA,http://skylinefoundation.org.au/,1300 010 387,Our Community House, 552 Victoria St, North Melbourne VIC 3051, Australia,ChIJtzaeK-dC1moRTKG8b7jcWMA
ZOOM FOUNDATION,061600601,GREENWICH,CT,http://www.zoomfoundation.org/,(203) 989-9049,1210 Post Rd, Fairfield, CT 06824, USA,ChIJFXA8mRUQ6IkRf6iO1IUvvhg
SURDNA FOUNDATION INC,136108163,NEW YORK,NY,https://surdna.org/,(212) 557-0010,200 Madison Ave, New York, NY 10017, USA,ChIJTc-KuAFZwokRhevtkgav1nk
JPMORGAN CHASE FOUNDATION,237049738,NEW YORK,NY,https://www.jpmorganchase.com/,(212) 270-6000,270 Park Ave, New York, NY 10017, USA,ChIJFb0euP1YwokRa5_OdxLwrdw
CARL AND MARILYNN THOMA,465446388,DALLAS,TX,https://thomafoundation.org/,(214) 971-7770,1925 Cedar Springs Rd #205, Dallas, TX 75201, USA,ChIJ78zyEb2ZToYRl-P9hBE30z4
PETER G PETERSON FOUNDATION,260316905,NEW YORK,NY,http://www.pgpf.org/,(212) 542-9200,399 Park Ave 14th floor, New York, NY 10022, USA,ChIJyQqSXPpYwokRF13U1zZNjq4
BROWN FOUNDATION INC,746036466,HOUSTON,TX,http://www.brownfoundation.org/,(713) 523-6867,2217 Welch St #10, Houston, TX 77019, USA,ChIJyw6m4b_AQIYRuvzQqgwhg_s
FORD FAMILY FOUNDATION,936026156,ROSEBURG,OR,http://www.tfff.org/,(541) 957-5574,1600 NW Stewart Pkwy, Roseburg, OR 97471, USA,ChIJG2hq1bUixFQRn7gdFCEFwuY
GHR FOUNDATION,453996122,MINNEAPOLIS,MN,https://hardenberghfoundation.org/,(651) 653-4956,81 E 7th St #125, St Paul, MN 55101, USA,ChIJBXuancHZslIRpgReQ0kbbk0
STOLLER FOUNDATION,463119720,HOUSTON,TX,http://www.stollerfoundation.org/,(713) 461-5012,10750 Hammerly Blvd #200, Houston, TX 77043, USA,ChIJBf6YbjHbQIYRnwKuMROBiFM
HENRY LUCE FOUNDATION INC,136001282,NEW YORK,NY,http://www.hluce.org/,(212) 489-7700,41 Madison Ave 27th Floor, New York, NY 10010, USA,ChIJdaOT_qZZwokRgpR5owEVMR0
XIE FOUNDATION,271208110,SUNNYVALE,CA,http://www.siliconvalleycf.org/,(650) 450-5400,444 Castro St Ste 140, Mountain View, CA 94041, USA,ChIJMXwAPpiwj4AROUVEUDMZNPs
CONRAD PREBYS FOUNDATION,203216993,SAN DIEGO,CA,http://prebysfdn.org/,(619) 860-2100,1420 Kettner Blvd Suite 700, San Diego, CA 92101, USA,ChIJ__-_TqxU2YARGUh5-xJvkw0
THE SAMUEL ROBERTS NOBLE FOUNDATION,815328519,ARDMORE,OK,https://noblefoundation.org/,(580) 223-5810,Second Floor, 2510 Sam Noble Pkwy Bldg A, Ardmore, OK 73401, USA,ChIJ5e7BIyTWTIYR-ml8JIQkoxs
HALL FAMILY FOUNDATION,446006291,KANSAS CITY,MO,http://hallfamilyfoundation.org/,(816) 274-8516,2460 E Pershing Rd, Kansas City, MO 64108, USA,ChIJi1Np8xTwwIcRd4C_-MGBQFM
DENNIS R WASHINGTON FOUNDATION INC,363606913,MISSOULA,MT,https://www.umt.edu/education/,(406) 243-4911,Missoula, MT 59812, USA,ChIJ_R_1nIzNXVMRSSDyvWiJszI
APHORISM FOUNDATION,464347021,SAN FRANCISCO,CA,https://www.horizonsfoundation.org/,(415) 398-2333,155 Sansome St #650, San Francisco, CA 94104, USA,ChIJA5OA_YWAhYARBJM29hGjsuk
THE CALIFORNIA WELLNESS FOUNDATION,954292101,LOS ANGELES,CA,http://www.calwellness.org/,(818) 702-1900,515 Flower St #1100, Los Angeles, CA 90071, USA,ChIJAQAAAB2cwoARUy4LhXjJRnM
HAROLD ALFOND FOUNDATION,223281672,PORTLAND,ME,http://www.haroldalfondfoundation.org/,,Congress St, Portland, ME 04101, USA,ChIJr6fC-hScskwRPIJaNcb08gM
