name,ein,city,state,website,phone,formatted_address,place_id
JOSEPH AND JUDITH H JOHNSON FAMILYFOUNDATION,208086588,STOCKTON,CA,https://sanjoaquincf.org/,(209) 943-2375,6731 Herndon Pl, Stockton, CA 95219, USA,ChIJoT_26GENkIARXoToG6ZMWbk
W F KING JR AND LORRAINE HAYES KING SCHOLARSHIP FUND,566571743,PITTSBURGH,PA,http://forbesfunds.org/,(412) 284-4034,Two Nova Tower 2, 100 S Commons Suite 404, Pittsburgh, PA 15212, USA,ChIJO1CPWlHxNIgRQLOnEaaASXA
OPERATION RESTORE HOPE INC,880867589,MECHANICSBURG,PA,https://operationwarmhearts.org/,(717) 516-5601,514 W Elmwood Ave, Mechanicsburg, PA 17055, USA,ChIJVVXpk97nyIkR9sweE8M8DTo
ELITE DANCE PARENT CLUB,394291066,NEWTOWN,PA,http://elitedanceacademy.com/,(215) 322-9175,130 Almshouse Rd Ste 303, Richboro, PA 18954, USA,ChIJ85RqeX6sxokR99aQRTSL46U
MARY MCCORMAC SHEPPARD SCHOLARSHIP FUND,566213282,SAINT LOUIS,MO,http://www.sfstl.org/,(314) 725-7990,6825 Clayton Ave Ste 100, St. Louis, MO 63139, USA,ChIJ0xMXOTvL2IcRtl6vf2Ze7OE
CUT KIDS HUNGER INC,334957843,COEUR D ALENE,ID,,(208) 551-2625,610 Hubbard St Ste 106, Coeur d'Alene, ID 83814, USA,ChIJfYpUZE_HYVMRYHq9YmqB7Lg
HOUFF CHARITABLE FOUNDATION,814489297,WEYERS CAVE,VA,http://www.houffcorp.com/,(540) 234-9246,97 Railside Dr, Weyers Cave, VA 24486, USA,ChIJoz4Hs_eZtIkRIGZxmYC26W4
CHADASHA FOUNDATION,271427529,KNOXVILLE,TN,http://chadasha.org/,,F4JR+74F, Jimani, Dominican Republic,ChIJWXz_3aocuo4R-aqCdZIsyB8
TAN AND LOO FAMILY FOUNDATION,943360854,SAN FRANCISCO,CA,https://www.chcausa.org/a-%E6%AD%B7%E5%8F%B2-history/%E5%A7%93%E6%B0%8F%E5%AE%97%E8%A6%AA%E6%9C%83-surnames/%E5%96%AE%E5%A7%93-single-surname/%E6%9E%97%E8%A5%BF%E6%B2%B3%E5%A0%82-lim-family-benevolent-association,(415) 391-2089,30 St Louis Alley, San Francisco, CA 94133, USA,ChIJr1Vup_SAhYARl-CFVgiMHOw
INSPIRATION OUTREACH FOUNDATION,833646130,PALATINE,IL,https://www.partnersonthepath.net/,(224) 212-0140,800 E Northwest Hwy, Palatine, IL 60074, USA,ChIJgTt79YKlD4gRsU4_hetHxmI
CAROLE SHAPIRO MEMORIAL FOUNDATION INC,566060223,MONUMENT,CO,https://www.ppcf.org/,(719) 389-1251,315 E Pikes Peak Ave #120, Colorado Springs, CO 80903, USA,ChIJU3ewRBVFE4cRm3ev7X7oRUk
THE SHARED PLATE FOUNDATION,393831303,ISSAQUAH,WA,https://thecircle-wa.org/,(425) 414-4999,160 NW Gilman Blvd #326, Issaquah, WA 98027, USA,ChIJ5Qv6AcJvkFQRivgsyD-7rYU
WEBER FAMILY FOUNDATION INC,474455620,RAPID CITY,SD,https://www.webberfoundation.org/,(512) 495-9494,3112 Windsor Rd, Austin, TX 78703, USA,ChIJVVVVVQq1RIYRgMqLQym8uag
SAKONNET FOUNDATION,456507465,BOSTON,MA,https://sakonnetpreservation.org/,(401) 635-8800,73 Simmons Rd Unit C, Little Compton, RI 02837, USA,ChIJw0ijjGoH5YkRz__vxQqLhpI
SANTA PAULA EDUCATION FOUNDATION,953814317,SANTA PAULA,CA,https://www.spedufoundation.org/contact-us,(805) 525-4400 ext. 9008,404 N 6th St, Santa Paula, CA 93060, USA,ChIJYXJtvaK16YARG8cZROPPMT0
CLINT SINCLAIR MINISTRIES INC,721583605,HENRYETTA,OK,https://www.facebook.com/joyinlifeministries/,(918) 652-1213,611 E Trudgeon St, Henryetta, OK 74437, USA,ChIJWcapbZY5tIcRyx0ZbXJo55Q
FRANK J AND LENORA DUPUIS FOUNDATION INC,453568792,SARASOTA,FL,https://www.cfsarasota.org/,(941) 955-3000,2635 Fruitville Rd, Sarasota, FL 34237, USA,ChIJIUPt5YdAw4gRAqL5CmMPkgk
ZARLEY FAM FOUNDATION,205938501,HENDERSON,NV,https://silverlinkfoundation.org/,(702) 583-6667,2759 Sunlight Creek St, Henderson, NV 89052, USA,ChIJ_SXhZDHPyIAR5QAWFD-a4Rc
LILLIAN HECK MEMORIAL FUND,251818905,PITTSBURGH,PA,http://achieva.info/,(412) 995-5000,711 Bingham St, Pittsburgh, PA 15203, USA,ChIJ74bTjEPxNIgRqKXCr8Rdspk
BASALELI FAMILY FOUNDATION INC,873915898,GREAT NECK,NY,http://gnucf.org/,(516) 539-3131,505 Northern Blvd #306, Great Neck, NY 11021, USA,ChIJvxJU_7mJwokRR0Yv-TRzPdM
ART MORE INC,873996684,NEW YORK,NY,https://moreart.org/,(646) 416-6940,71 Nassau St #13A, New York, NY 10038, USA,ChIJQZgHJBhawokROr1nhF9Kh_M
BEAS ARTISAN CENTER INC,920239854,UNIONDALE,NY,https://bee-s-arts-and-crafts-studio.webnode.page/,(516) 284-7143,285 Hempstead Ave, Malverne, NY 11565, USA,ChIJ65orpW1jwokRzpcx8gyxXlo
MEDS 1 MEDICAL RESEARCH,432066057,LOS ANGELES,CA,https://www.medvinresearch.com/,(562) 758-6600,12456 Washington Blvd, Whittier, CA 90602, USA,ChIJySIkYvvTwoARvOAJdPHjg0c
SOUTHERN CALIFORNIA RETREAT FOUNDATION,393729632,LOS ANGELES,CA,http://www.theashram.com/,(818) 222-6900,2025 McKain St, Calabasas, CA 91302, USA,ChIJJYCUIbyfwoARIxKPrW5xRWU
SUSAN B HEPNER FAMILY FOUNDATION,521608120,WASHINGTON,DC,http://www.polingerfoundation.org/,(202) 888-6833,1301 Connecticut Ave NW, Washington, DC 20036, USA,ChIJq6qad8e3t4kRuVbPt1blJGM
THE JED AND CELIA MEESE FOUNDATION,880233962,ASHLAND,OR,http://www.achfoundation.org/,(541) 482-0367,123 Clear Creek Dr Ste 101, Ashland, OR 97520, USA,ChIJAQBkAlJzz1QRy-tYAdWatNg
ECO GIVE,993403531,CENTENNIAL,CO,https://www.ecoshieldpest.com/locations/denver-co/?utm_source=GMB&utm_medium=organic&utm_campaign=local,(303) 317-6575,12508 E Briarwood Ave Ste 1A, Centennial, CO 80112, USA,ChIJGbmwlFyBbIcR86WOplSceAI
HIRSHAN FAMILY FOUNDATION,263216432,PASADENA,CA,http://www.pancreatic.org/,(310) 473-5121,2990 S Sepulveda Blvd #300c, Los Angeles, CA 90064, USA,ChIJ1-ixGq67woARozrWlxSGz-c
ROLLING RASCALS,884198341,MANSFIELD,OH,http://rrlc.squarespace.com/,(419) 589-3206,969 Crall Rd E, Mansfield, OH 44903, USA,ChIJRbEIxCDsOYgRwoGibBENKq4
CARRY ME COMFORT INC,863203525,WESTPORT,CT,https://www.comfortkeepers.com/offices/connecticut/westport/?utm_source=local&utm_medium=organic,(203) 712-5800,181 Post Rd W #17, Westport, CT 06880, USA,ChIJ8WMNL3G9wokRWWM3meaWQ6c
HUMAN POTENTIAL FOUNDATION,112670749,SMITHTOWN,NY,http://nffhp.org/about-us/golf-tournament-committee/,(516) 870-1661,191 Bethpage-Sweet Hollow Rd, Old Bethpage, NY 11804, USA,ChIJq6pqo2Aq6IkRlOSVwWc19FM
WASAIDIZI INC,932265767,NEWARK,NJ,http://www.shopzavii.com/,,44 Coeyman St, Newark, NJ 07104, USA,ChIJAf56DO5VwokR1ixkFokX4j0
PROTESTANT ORPHANAGE FOUNDATION INC,237310726,ORLANDO,FL,,(407) 335-0755,1615 Americana Blvd, Orlando, FL 32839, USA,ChIJAVbdSaF954gRtlx2f2X--s4
DMR CHARITABLE FOUNDATION,205989125,PITTSBURGH,PA,http://www.dsfcf.org/,(412) 362-6000,Ellsworth Center II, 5840 Ellsworth Ave #200, Pittsburgh, PA 15232, USA,ChIJJwVVbw3yNIgRdM0V_gnPR88
EHRLICHMAN FAMILY FOUNDATION,201517940,HIGHLAND PARK,IL,http://www.hpcfil.org/,(847) 433-4100,833 Central Ave Unit 398, Highland Park, IL 60035, USA,ChIJmaAOKb3BD4gR019u0adkvM4
HUFFINES FOUNDATION,334411584,DALLAS,TX,http://huffinescommunities.com/,(214) 750-1800,8200 Douglas Ave #300, Dallas, TX 75225, USA,ChIJW2BrgkSeToYRPWjbki79dpw
THE DAVID AND DOROTHY CARPENTER CHARITABLE TRUST,236951577,WESTPORT,CT,https://www.hwhct.org/,(203) 226-1661,45 Jesup Rd, Westport, CT 06880, USA,ChIJbW8A3Hkb6IkRMElrBiAvC-E
PHILLIP AND PATRICIA FROSTPHILANTHROPIC FOUNDATION INC,204128545,MIAMI,FL,https://www.frostscience.org/,(305) 434-9600,1101 Biscayne Blvd, Miami, FL 33132, USA,ChIJab3yr6C22YgRdh8TY4oVu_w
JOSEPH C DAY FOUNDATION,383543776,HARTFORD,CT,http://www.jcfhartford.org/,(860) 523-7460,333 Bloomfield Ave D, West Hartford, CT 06117, USA,ChIJL5Kb7ker54kREIe14G0wIDY
JOHN J AND FLORENCE B KLECKA SCHOLARSHIP FUND,036071434,MANCHESTER,NH,https://nh.scholarshipfund.org/,(603) 755-6751,180 Loudon Rd, Concord, NH 03301, USA,ChIJ--NXgZxq4okRyR4auZwFKDI
CORLEY CHAPMAN JR CHARITABLE TRUST,477337836,TROY,AL,http://www.cgt.life/,,200 W College St, Troy, AL 36081, USA,ChIJvRlfVzTtjYgRYE7bL4bng0g
SU-PING LEE & WEI-JEN HUANG FOUNDATION,823741363,SAN JOSE,CA,http://hewlett.org/,(650) 234-4500,2121 Sand Hill Rd, Menlo Park, CA 94025, USA,ChIJeVCq7d6kj4ARVCfILXSUSJc
CORTONA FOUNDATION,884006396,WARRENTON,VA,https://www.cortonafoundation.org/contact,(540) 272-2956,19 Winchester St, Warrenton, VA 20186, USA,ChIJVVXJPal9tokREvcnWuc9pgM
SWANSON FAMILY FOUNDATION,134358130,FRANKLIN,TN,,(801) 392-0360,2520 N Rulon White Blvd Ste b, Ogden, UT 84404, USA,ChIJSzGk-BYNU4cR_7LrOpDuNyM
CENTENE FOUNDATION,201298192,SAINT LOUIS,MO,http://www.centene.com/,(314) 725-4477,Centene Plaza, 7700 Forsyth Blvd, Clayton, MO 63105, USA,ChIJrUiAWNTK2IcR-xTGaGsxb6I
DOOR OF HOPE OUTREACH INC,413105420,EDGEWOOD,MD,http://doorsofhopeinc.org/,(202) 800-6440,1818 New York Ave NE Ste 221, Washington, DC 20002, USA,ChIJZdxoQ665t4kRyxV7eZtVF3k
ROSEN FAMILY CHARITABLE FOUNDATION INC,464107197,HAYMARKET,VA,,(540) 937-3369,9272 Big Horn Rd, Remington, VA 22734, USA,ChIJyej6a1GCtokRIFIYRtkXBj4
MAHSHALA FOUNDATION INC,116100993,BROOKLYN,NY,http://almahdifoundation.org/,(718) 675-6987,779 Coney Island Ave, Brooklyn, NY 11218, USA,ChIJW4w8MzJbwokRO3I0zXm5lrc
VIETNAM AND ALL VETERANS OF BREVARD INC,592709679,MELBOURNE,FL,http://www.vietnamandallveteransofbrevard.com/transitional-housing.html,(321) 409-8167,700 E Fee Ave, Melbourne, FL 32901, USA,ChIJtTKdUY0R3ogRhxfCQeJY8lQ
JANE BELTZ UW FBO HOAG MEMORIAL HOSPITAL PRESBYTERIAN,306171447,GREENSBURG,PA,https://www.chp.edu/locations/childrens-specialty-new-oxford?utm_source=google&utm_medium=organic&utm_campaign=business-profile&utm_content=primary-care-pediatrics-cpa-upmc-childrens-specialty-services,(724) 420-9070,5126 US-30, Greensburg, PA 15601, USA,ChIJu5UpJcfRNIgRoK5tPf4eGMI
MCINERNY FOUNDATION,996002356,HONOLULU,HI,https://hawaiicommunityfoundation.org/,(808) 537-6333,827 Fort Street Mall, Honolulu, HI 96813, USA,ChIJj-5rrnVuAHwRhOuUAx38bsw
DEALESSANDRO FOUNDATION,566594082,FREEHOLD,NJ,http://joansjoy.org/,,Hillsdale, NJ 07642, USA,ChIJGRzp5ePlwokRvBF7UIyd3WQ
TOLLIVER FAMILY FOUNDATION,874080110,MINNEAPOLIS,MN,http://www.trilliumfamilyfoundation.org/,,2324 University Ave W, St Paul, MN 55114, USA,ChIJAQDAiscss1IRGNWtNKrp7ks
BERMAN FAMILY CHARITABLE FOUNDATION INC,821670536,PALM BCH GDNS,FL,https://ballenislescharitiesfoundation.org/contact-us/,(561) 625-5701,100 Ballenisles Cir, Palm Beach Gardens, FL 33418, USA,ChIJVUmq3EvV3ogRDVUUj2DpJgU
EARL M WILSON TR UW FBO ANIMAL WELFARE,566355445,SAINT LOUIS,MO,https://stlouiscountymo.gov/st-louis-county-departments/public-health/animal-care-control,(314) 615-0650,10521 Baur Blvd, Olivette, MO 63132, USA,ChIJge3wxnIz34cRF8N_uXdhUXM
SZALAY FAMILY FOUNDATION,470827433,PALM BCH GDNS,FL,https://www.scaifefamily.org/,(561) 671-9979,777 S Flagler Dr #903W, West Palm Beach, FL 33401, USA,ChIJ8XlYx4rW2IgRYRJFhz4T2tM
COLLEGE OF WILLIAM & MARY TR,166015129,CHICAGO,IL,https://www.wm.edu/,(757) 221-4000,200 Stadium Dr, Williamsburg, VA 23185, USA,ChIJMWOHJcN4sIkRte0qJwGuwco
JACOBS FAMILY FOUNDATION INC,954187111,SAN DIEGO,CA,http://www.jacobsfamilyfoundation.org/,(619) 264-1477,404 Euclid Ave #213, San Diego, CA 92114, USA,ChIJyRAq9NlT2YAR1KF_GDR2GYw
BEACH FOUNDATION,232897351,CONSHOHOCKEN,PA,https://bobbybondsmemorialfoundation.com/,,362 E Hector St, Conshohocken, PA 19428, USA,ChIJq6r6srq4xokRKtfF5YVF6Pc
OFICINA INTERGRUPAL DEL ESTE DE LOS ANGELES,954079569,LOS ANGELES,CA,,(323) 722-1044,6422 Whittier Blvd, East Los Angeles, CA 90022, USA,ChIJJX-U8crPwoARhvJFP1C9u1o
TL FOUNDATION,461465202,SUFFERN,NY,http://www.thetlcfoundation.org/,(845) 200-7486,1787 US-6, Carmel Hamlet, NY 10512, USA,ChIJW_VOsJ9N3YkR--EPAgOXed8
GEORGE ASHWORTH CHARITABLE TRUST D,026006579,HAMPTON,NH,https://www.ashworthhotel.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp_listing,(603) 926-6762,295 Ocean Blvd, Hampton, NH 03842, USA,ChIJjcwcIlXd4okRHpSm6z8qAvA
NEEDHAM SEPTEMBER 11TH SCHOLARSHIP FUND,134196881,NEW YORK,NY,http://www.scholarshipfund.org/,(212) 515-7100,8 W 38th St #804, New York, NY 10018, USA,ChIJ98DcDapZwokRdC79htb-NIQ
LBM FOUNDATION,831169005,BROOKLYN,NY,https://labaninstitute.org/,(212) 643-8888,138 S Oxford St, Brooklyn, NY 11217, USA,ChIJ8UnDL7BbwokRxZTa97TCiY8
AKIAN FOUNDATION,263913336,VALENCIA,CA,,(714) 839-5858,5305 W McFadden Ave, Santa Ana, CA 92704, USA,ChIJh8SIWYQn3YAR9EPX2ZHiplw
DIVERSABILITY,934147019,RICHMOND HILL,GA,,(912) 312-7409,2451 US-17, Richmond Hill, GA 31324, USA,ChIJ809sRgML-4gRLJpLoIRHVSc
FISH FAMILY FOUNDATION INC,133910335,NEW YORK,NY,http://freyfamilyfoundation.org/,(631) 473-6314,314 Main St, Port Jefferson, NY 11777, USA,ChIJgSsCrFlA6IkRYokpCMV5cJo
FRIENDS OF GRIZZLIES WRESTLING,542090749,GOFFSTOWN,NH,http://www.agogewrestlingclub.com/,(603) 935-7312,11 Lance Ln Unit 12, Goffstown, NH 03045, USA,ChIJUcvxrTdJ4okRllMP8BARtcY
KIWANIS CLUB OF WESTSHORE SCHOLARSHIP FUND,346902315,PITTSBURGH,PA,https://glenshawkiwanis.org/,(412) 486-3563,602 Willruth Dr, Allison Park, PA 15101, USA,ChIJ26pFzh-NNIgRmvQyqlBNWKw
ASSOCIATION OF THE UNITED STATES NAVY FUND,521414267,ALEXANDRIA,VA,http://www.ausn.org/,(703) 548-5800,3337 Duke St, Alexandria, VA 22314, USA,ChIJu1SRDwCxt4kRaieJYm6_f9c
JOSEPHINE K TOMLINSON TR FBO NORTH & SOUTHAMPTON CHURCH,236987377,BUFFALO,NY,http://www.nsrc1710.org/,(215) 357-5636,1380 Bristol Rd, Southampton, PA 18966, USA,ChIJ6ULR_f-sxokRP2cKrb-3p3o
EDNA SPROULL WILLIAMS FOUNDATION,510198606,JACKSONVILLE,FL,http://www.ciljacksonville.org/,(904) 399-8484,2709 Art Museum Dr, Jacksonville, FL 32207, USA,ChIJa21sZHu25YgRJi45d1VfGrI
G F PATTERSON TRUST,376343185,PARIS,IL,https://www.firstmid.com/locations/paris-south-central-ave,(217) 465-6381,101 S Central Ave, Paris, IL 61944, USA,ChIJaf5uSh6YcogRcjwnIH8Xb8Y
YU FOUNDATION,833266980,HENDERSON,NV,https://animalfoundation.com/,(702) 384-3333,655 N Mojave Rd, Las Vegas, NV 89101, USA,ChIJAx0M3UfDyIARkoddsw8BB0I
SONGBIRDS FOR SENIORS PERFORMANCE GROUP INC,923940062,OAKLAND PARK,FL,https://briguard.com/,(954) 324-9005,8469 W Oakland Park Blvd, Sunrise, FL 33351, USA,ChIJfRtbSZYH2YgRDhRk9ixw0Oc
RC JET FOUNDATION INC,393520481,SAN ANTONIO,TX,https://www.ramjack.com/san-antonio/,(830) 212-4173,5531 Sherri Ann Rd, San Antonio, TX 78233, USA,ChIJ92WpaT-LXIYRmlNpNTDu5-0
SCHMUEL JEWISH FOUNDATION,463779263,SHERMAN OAKS,CA,https://www.chabadso.com/,(818) 789-0850,14960 Ventura Blvd, Sherman Oaks, CA 91403, USA,ChIJOXWKesGXwoAR88tb8Z9AP50
BOAT FOUNDATION INC,421215669,PELLA,IA,http://www.pellacommunityfoundation.org/,(641) 628-8003,705 Main St, Pella, IA 50219, USA,ChIJH9WnX3Uw74cRfoYQs3UpSXo
SKB FOUNDATION,943024121,SUNNYVALE,CA,https://www.sskfoundation.org/,(415) 695-4472,521 Kim Pl, Hayward, CA 94544, USA,ChIJb3lstFGRj4AR1acQErKahbY
VERNON G & SANDRA J C BUCHANAN FAMILY FOUNDATION INC,203963153,SARASOTA,FL,http://bucfoundation.org/,(314) 388-9984,8824 N Broadway, St. Louis, MO 63147, USA,ChIJaRRwCC1L34cRnw4RZH-wesQ
LOGISTICS PROPERTY COMPANY FOUNDATION,873126785,CHICAGO,IL,https://logisticspropco.com/,(708) 667-6940,191 N Wacker Dr, Chicago, IL 60606, USA,ChIJKegdiictDogRLzfCfLrdAR0
COLLECTION NO 01,883849926,INDIAN TRAIL,NC,http://www.carolinamade.com/,(704) 821-6425,400 N Indian Trail Rd, Indian Trail, NC 28079, USA,ChIJ_3lepQElVIgR_ZjMPAMtMv8
BOOTH-BRICKER FUND,720818077,NEW ORLEANS,LA,http://www.gnof.org/,(504) 598-4663,919 St Charles Ave, New Orleans, LA 70130, USA,ChIJCZ45TnamIIYRxpNTw0XSb3w
MERTE G KEHR TRUST,236461997,SAINT LOUIS,MO,https://www.northerntrust.com/about-us/locations/us/mo/st-louis-8027-forsyth-boulevard,(314) 505-8300,8027 Forsyth Blvd 7th Floor (Suite 750, St. Louis, MO 63105, USA,ChIJ85gBSNTK2IcRKzHFg72byQ0
RUTH A MCDANIEL ANIMAL WELFARE FUND,436248088,DALLAS,TX,https://www.bedallas90.org/,(214) 670-6800,1818 N Westmoreland Rd, Dallas, TX 75212, USA,ChIJHbj_16WbToYRxPDf2l7GGVU
REPAIR RESTORE AND GROW BLACK COMMUNITIES,851477239,CHICAGO,IL,https://ragenglewood.org/,(866) 845-1032,6620 S Union Ave Ste 2, Chicago, IL 60621, USA,ChIJqS331MgvDogR09DMq08DI7k
WALSINGHAM CHARITABLE FOUNDATION OF ARIZONA,823444447,TEMPE,AZ,http://www.azfoundation.org/,(602) 381-1400,2201 E Camelback Rd #405B, Phoenix, AZ 85016, USA,ChIJkxpMR28NK4cROdR1djwLaco
BAYSHORE ACTIVE FIRE CHIEFS ASSOCIATION,223485241,KEYPORT,NJ,http://njvfca.org/,(732) 721-3287,61 Wilson Ave, Parlin, NJ 08859, USA,ChIJ___zKdrLw4kRcuqJlhRng7A
SANDRA PREMROU CHARITABLE TR,826289429,NEW YORK,NY,https://www.thenytrust.org/,(212) 686-0010,909 3rd Ave 22nd Floor, New York, NY 10022, USA,ChIJ6dqNe-RYwokRg5bVnPdf28M
BRIDGEWOOD FIELDWATER FOUNDATION,066419997,BRIDGEWATER,CT,http://www.bridgewaterhistoricalsocietyct.com/,(860) 354-7827,48 Main St S, Bridgewater, CT 06752, USA,ChIJGQGFXkLx54kRXvE-8TyKi-Y
WALLERSTEIN FOUNDATION FOR GERIATRI C LIFE IMPROVEMENT INC,223052726,FLORHAM PARK,NJ,https://florhamparkrehab.com/,(973) 867-1500,190 Park Ave, Florham Park, NJ 07932, USA,ChIJB2EOMWymw4kR1uZ-Ima8s-M
WOLOKAHN FOUNDATION,931228087,PORTLAND,OR,https://www.womensfoundationoforegon.org/,(971) 230-1294,221 NW 2nd Ave #302, Portland, OR 97209, USA,ChIJR2XBB4ULlVQRPUoayXqfKVI
HOWARD FAMILY FOUNDATION,742976962,AUSTIN,TX,https://www.webberfoundation.org/,(512) 495-9494,3112 Windsor Rd, Austin, TX 78703, USA,ChIJVVVVVQq1RIYRgMqLQym8uag
CONCENTRIC EDUCATION FOUNDATION,884312617,BALTIMORE,MD,http://concentriced.org/,(410) 646-8911,1210 Light St, Baltimore, MD 21230, USA,ChIJQR6Ats7Jt4kRgkyEDpd9nzg
GEORGE AND ANGELINA OWUSU FAMILY FOUNDATION,462345449,HOUSTON,TX,http://www.owusufoundation.org/owusu.php?section=contact,(346) 606-2817,510 Bering Dr, Houston, TX 77057, USA,ChIJq6pq7f7DQIYROX5VUhJ7XSg
PAUL AND PAMELA FAZIO FAMILY CHARITABLE TRUST,844711508,WESTON,FL,https://www.eyesurgeryassociatesflorida.com/locations/weston/?y_source=1_MjAzOTM3MTEtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,(954) 217-3155,2300 N Commerce Pkwy Ste 307, Weston, FL 33326, USA,ChIJfc59Zaug2YgR1bs9PneBC64
ROY G WARD JR & MARY G WARD CHARITA BLE FOUNDATION INC,393866924,NEW SMYRNA,FL,https://habitatsev.org/restore/,(386) 428-5010,722 S Dixie Fwy, New Smyrna Beach, FL 32168, USA,ChIJNfBp9cou54gREwY3QY8WeWI
BREAKAWAY PRODUCTIONS FOUNDATION,261460779,LOS ANGELES,CA,http://www.breakaway-la.com/,(310) 876-1950,3440 Motor Ave #103a, Los Angeles, CA 90034, USA,ChIJj0ZAKim6woARwDKW9V0qsKM
NAECKER FAMILY FOUNDATION,823744801,PASADENA,CA,http://www.pasadenacf.org/,(626) 796-2097,301 E Colorado Blvd #810, Pasadena, CA 91101, USA,ChIJlbni0bFK4BQRHGDSv9eNADk
WILLIAM BEECHER SCOVILLE FOUNDATION INC,136184954,CAMBRIDGE,MA,https://www.wecanbewhole.org/contactus,(617) 868-8098,211 Columbia St, Cambridge, MA 02139, USA,ChIJq6omq7Jw44kRRSOqGDmeEDM
WHITE PINES FOUNDATION,455179760,CHAMPAIGN,IL,http://www.cfeci.org/,(217) 359-0125,307 W University Ave, Champaign, IL 61820, USA,ChIJaVa3pbPQDIgRG9a2gBG4jKM
SANDER & RAY EPSTIN CHARITABLE FOUNDATION INC,136218324,NAPERVILLE,IL,https://steansfamilyfoundation.org/,(312) 467-5900,50 E Washington St #4, Chicago, IL 60602, USA,ChIJaTaGea4sDogRwoWjqO3uj7A
HAYDEN LONGSHOTS TRAP & SKEET TEAM,843717368,COEUR D ALENE,ID,http://www.cdaskeetandtrap.com/,(208) 772-2275,1879 W Miles Ave, Hayden, ID 83835, USA,ChIJnyR_80PAYVMRqWpJ4M908EQ
KLEIN G & MARY LEE LEISTER FOUNDATION INC,521402453,TOWSON,MD,http://towson.edu/iwb,(410) 704-7300,7400 York Rd, Towson, MD 21204, USA,ChIJjdMOjq4PyIkRoRAnAkaJHdc
